Date,META
2013/2/28,45.55611465
2013/3/1,39.18805561
2013/3/2,29.8808924
2013/3/3,33.30984727
2013/3/4,43.10686117
2013/3/5,48.98506951
2013/3/6,39.18805561
2013/3/7,47.02566673
2013/3/8,38.20835422
2013/3/9,33.79969796
2013/3/10,34.77939935
2013/3/11,42.61701048
2013/3/12,42.61701048
2013/3/13,44.08656256
2013/3/14,43.59671187
2013/3/15,43.10686117
2013/3/16,32.33014588
2013/3/17,34.28954866
2013/3/18,36.24895144
2013/3/19,42.61701048
2013/3/20,44.57641326
2013/3/21,44.57641326
2013/3/22,40.65760769
2013/3/23,29.8808924
2013/3/24,29.8808924
2013/3/25,37.71850352
2013/3/26,38.20835422
2013/3/27,44.08656256
2013/3/28,38.69820491
2013/3/29,33.30984727
2013/3/30,28.90119101
2013/3/31,31.84029518
2013/4/1,36.73880213
2013/4/2,42.19997542
2013/4/3,41.70350512
2013/4/4,43.19291602
2013/4/5,39.71762393
2013/4/6,31.77409914
2013/4/7,32.76703974
2013/4/8,41.70350512
2013/4/9,41.70350512
2013/4/10,40.71056453
2013/4/11,44.68232692
2013/4/12,37.73174273
2013/4/13,31.27762884
2013/4/14,32.76703974
2013/4/15,36.73880213
2013/4/16,43.19291602
2013/4/17,45.17879722
2013/4/18,43.19291602
2013/4/19,42.19997542
2013/4/20,31.27762884
2013/4/21,31.27762884
2013/4/22,42.19997542
2013/4/23,44.68232692
2013/4/24,44.18585662
2013/4/25,49.64702991
2013/4/26,39.22115363
2013/4/27,34.25645064
2013/4/28,31.77409914
2013/4/29,36.24233183
2013/4/30,41.70350512
2013/5/1,36.24233183
2013/5/2,44.18585662
2013/5/3,40.71056453
2013/5/4,35.74586154
2013/5/5,30.78115854
2013/5/6,35.74586154
2013/5/7,43.19291602
2013/5/8,41.20703483
2013/5/9,42.69644572
2013/5/10,36.73880213
2013/5/11,29.29174765
2013/5/12,30.78115854
2013/5/13,37.23527243
2013/5/14,44.18585662
2013/5/15,41.20703483
2013/5/16,46.66820812
2013/5/17,38.22821303
2013/5/18,32.76703974
2013/5/19,33.75998034
2013/5/20,40.71056453
2013/5/21,41.20703483
2013/5/22,43.19291602
2013/5/23,44.68232692
2013/5/24,36.73880213
2013/5/25,29.78821795
2013/5/26,38.22821303
2013/5/27,44.68232692
2013/5/28,39.71762393
2013/5/29,41.20703483
2013/5/30,43.68938632
2013/5/31,36.24233183
2013/6/1,31.27762884
2013/6/2,30.78115854
2013/6/3,37.73174273
2013/6/4,41.20703483
2013/6/5,41.70350512
2013/6/6,44.68232692
2013/6/7,36.24233183
2013/6/8,33.75998034
2013/6/9,32.27056944
2013/6/10,38.22821303
2013/6/11,40.71056453
2013/6/12,41.70350512
2013/6/13,42.69644572
2013/6/14,37.73174273
2013/6/15,32.76703974
2013/6/16,31.77409914
2013/6/17,41.20703483
2013/6/18,42.19997542
2013/6/19,40.71056453
2013/6/20,46.66820812
2013/6/21,37.23527243
2013/6/22,32.76703974
2013/6/23,30.78115854
2013/6/24,37.73174273
2013/6/25,41.70350512
2013/6/26,43.19291602
2013/6/27,46.17173782
2013/6/28,37.73174273
2013/6/29,33.75998034
2013/6/30,28.79527735
2013/7/1,36.24233183
2013/7/2,38.69113804
2013/7/3,37.71161556
2013/7/4,47.99660162
2013/7/5,37.71161556
2013/7/6,32.32424191
2013/7/7,33.79352563
2013/7/8,46.03755666
2013/7/9,43.58875045
2013/7/10,43.09898921
2013/7/11,47.99660162
2013/7/12,41.62970549
2013/7/13,32.81400315
2013/7/14,33.79352563
2013/7/15,42.60922797
2013/7/16,42.60922797
2013/7/17,42.60922797
2013/7/18,38.69113804
2013/7/19,37.71161556
2013/7/20,31.83448067
2013/7/21,32.81400315
2013/7/22,36.24233183
2013/7/23,38.2013768
2013/7/24,36.24233183
2013/7/25,42.60922797
2013/7/26,38.2013768
2013/7/27,31.83448067
2013/7/28,30.85495818
2013/7/29,42.11946673
2013/7/30,36.73209308
2013/7/31,42.60922797
2013/8/1,44.07851169
2013/8/2,38.69113804
2013/8/3,30.36519694
2013/8/4,31.83448067
2013/8/5,37.22185432
2013/8/6,40.16042176
2013/8/7,35.26280935
2013/8/8,37.71161556
2013/8/9,39.18089928
2013/8/10,31.83448067
2013/8/11,32.81400315
2013/8/12,37.71161556
2013/8/13,44.07851169
2013/8/14,38.2013768
2013/8/15,45.54779541
2013/8/16,37.71161556
2013/8/17,31.34471942
2013/8/18,32.32424191
2013/8/19,39.67066052
2013/8/20,42.60922797
2013/8/21,44.56827293
2013/8/22,47.01707914
2013/8/23,37.22185432
2013/8/24,31.83448067
2013/8/25,33.79352563
2013/8/26,37.71161556
2013/8/27,45.54779541
2013/8/28,40.650183
2013/8/29,46.5273179
2013/8/30,36.73209308
2013/8/31,30.85495818
2013/9/1,30.85495818
2013/9/2,42.11946673
2013/9/3,42.11946673
2013/9/4,43.58875045
2013/9/5,46.5273179
2013/9/6,41.62970549
2013/9/7,30.85495818
2013/9/8,29.8754357
2013/9/9,41.13994424
2013/9/10,43.09898921
2013/9/11,40.16042176
2013/9/12,42.60922797
2013/9/13,37.22185432
2013/9/14,32.81400315
2013/9/15,33.79352563
2013/9/16,42.60922797
2013/9/17,40.650183
2013/9/18,43.58875045
2013/9/19,43.58875045
2013/9/20,36.73209308
2013/9/21,31.34471942
2013/9/22,31.83448067
2013/9/23,44.07851169
2013/9/24,46.5273179
2013/9/25,42.11946673
2013/9/26,48.9761241
2013/9/27,42.11946673
2013/9/28,30.36519694
2013/9/29,33.79352563
2013/9/30,42.60922797
2013/10/1,41.13994424
2013/10/2,42.59194228
2013/10/3,45.49593834
2013/10/4,44.04394031
2013/10/5,29.03996064
2013/10/6,32.9119554
2013/10/7,42.10794293
2013/10/8,42.59194228
2013/10/9,43.07594162
2013/10/10,45.49593834
2013/10/11,38.23594818
2013/10/12,31.45995736
2013/10/13,31.94395671
2013/10/14,35.81595146
2013/10/15,41.13994424
2013/10/16,42.10794293
2013/10/17,45.49593834
2013/10/18,38.23594818
2013/10/19,30.49195868
2013/10/20,31.45995736
2013/10/21,41.62394359
2013/10/22,45.97993769
2013/10/23,41.62394359
2013/10/24,47.43193572
2013/10/25,44.52793965
2013/10/26,33.39595474
2013/10/27,34.36395343
2013/10/28,39.68794621
2013/10/29,43.55994097
2013/10/30,43.55994097
2013/10/31,45.49593834
2013/11/1,36.78395015
2013/11/2,32.9119554
2013/11/3,31.94395671
2013/11/4,39.68794621
2013/11/5,43.07594162
2013/11/6,42.10794293
2013/11/7,46.94793637
2013/11/8,41.13994424
2013/11/9,36.2999508
2013/11/10,33.39595474
2013/11/11,41.62394359
2013/11/12,41.62394359
2013/11/13,46.46393703
2013/11/14,43.07594162
2013/11/15,42.59194228
2013/11/16,32.42795605
2013/11/17,29.52395999
2013/11/18,40.17194556
2013/11/19,41.62394359
2013/11/20,44.04394031
2013/11/21,48.39993441
2013/11/22,43.55994097
2013/11/23,33.39595474
2013/11/24,32.42795605
2013/11/25,42.10794293
2013/11/26,42.10794293
2013/11/27,40.17194556
2013/11/28,45.011939
2013/11/29,40.17194556
2013/11/30,30.97595802
2013/12/1,42.59194228
2013/12/2,43.55994097
2013/12/3,41.13994424
2013/12/4,41.62394359
2013/12/5,45.011939
2013/12/6,40.17194556
2013/12/7,30.00795933
2013/12/8,32.9119554
2013/12/9,39.20394687
2013/12/10,44.04394031
2013/12/11,38.71994752
2013/12/12,43.07594162
2013/12/13,36.2999508
2013/12/14,30.00795933
2013/12/15,32.9119554
2013/12/16,40.6559449
2013/12/17,37.26794949
2013/12/18,41.13994424
2013/12/19,43.07594162
2013/12/20,34.36395343
2013/12/21,29.03996064
2013/12/22,27.58796261
2013/12/23,31.45995736
2013/12/24,30.49195868
2013/12/25,28.07196196
2013/12/26,30.97595802
2013/12/27,33.87995408
2013/12/28,28.07196196
2013/12/29,29.52395999
2013/12/30,31.94395671
2013/12/31,29.52395999
2014/1/1,30.49195868
2014/1/2,35.9369513
2014/1/3,37.02594982
2014/1/4,31.03645794
2014/1/5,31.03645794
2014/1/6,35.9369513
2014/1/7,40.29294539
2014/1/8,40.83744465
2014/1/9,45.73793801
2014/1/10,42.47094244
2014/1/11,29.40296015
2014/1/12,31.5809572
2014/1/13,41.92644318
2014/1/14,41.92644318
2014/1/15,40.83744465
2014/1/16,44.10444023
2014/1/17,39.74844613
2014/1/18,32.66995572
2014/1/19,32.12545646
2014/1/20,39.74844613
2014/1/21,40.29294539
2014/1/22,41.92644318
2014/1/23,44.64893949
2014/1/24,41.92644318
2014/1/25,32.66995572
2014/1/26,31.5809572
2014/1/27,40.29294539
2014/1/28,43.0154417
2014/1/29,41.38194392
2014/1/30,45.19343875
2014/1/31,42.47094244
2014/2/1,32.66995572
2014/2/2,32.66995572
2014/2/3,39.74844613
2014/2/4,43.55994097
2014/2/5,43.0154417
2014/2/6,50.09393211
2014/2/7,43.55994097
2014/2/8,31.03645794
2014/2/9,32.66995572
2014/2/10,43.55994097
2014/2/11,42.47094244
2014/2/12,44.10444023
2014/2/13,44.64893949
2014/2/14,38.65944761
2014/2/15,29.40296015
2014/2/16,30.49195868
2014/2/17,44.64893949
2014/2/18,44.10444023
2014/2/19,41.38194392
2014/2/20,46.28243728
2014/2/21,44.64893949
2014/2/22,33.75895425
2014/2/23,32.12545646
2014/2/24,45.73793801
2014/2/25,43.55994097
2014/2/26,41.92644318
2014/2/27,47.3714358
2014/2/28,43.0154417
2014/3/1,32.12545646
2014/3/2,31.5809572
2014/3/3,39.74844613
2014/3/4,39.74844613
2014/3/5,44.64893949
2014/3/6,54.44992621
2014/3/7,43.55994097
2014/3/8,34.84795277
2014/3/9,33.21445499
2014/3/10,46.28243728
2014/3/11,44.64893949
2014/3/12,43.0154417
2014/3/13,44.64893949
2014/3/14,41.38194392
2014/3/15,32.66995572
2014/3/16,34.84795277
2014/3/17,43.0154417
2014/3/18,45.19343875
2014/3/19,42.47094244
2014/3/20,47.3714358
2014/3/21,43.0154417
2014/3/22,31.03645794
2014/3/23,31.03645794
2014/3/24,40.29294539
2014/3/25,41.92644318
2014/3/26,44.10444023
2014/3/27,45.73793801
2014/3/28,43.0154417
2014/3/29,33.21445499
2014/3/30,32.66995572
2014/3/31,42.47094244
2014/4/1,42.47094244
2014/4/2,41.98277069
2014/4/3,46.86448821
2014/4/4,43.44728595
2014/4/5,32.21933564
2014/4/6,34.66019441
2014/4/7,43.44728595
2014/4/8,42.95911419
2014/4/9,41.98277069
2014/4/10,46.37631646
2014/4/11,41.49459894
2014/4/12,34.66019441
2014/4/13,31.24299214
2014/4/14,41.49459894
2014/4/15,39.54191193
2014/4/16,44.42362945
2014/4/17,47.84083172
2014/4/18,34.66019441
2014/4/19,31.73116389
2014/4/20,30.75482039
2014/4/21,36.12470966
2014/4/22,41.00642718
2014/4/23,42.95911419
2014/4/24,48.32900347
2014/4/25,43.44728595
2014/4/26,32.7075074
2014/4/27,31.73116389
2014/4/28,42.95911419
2014/4/29,38.56556842
2014/4/30,40.03008368
2014/5/1,41.98277069
2014/5/2,38.56556842
2014/5/3,31.73116389
2014/5/4,34.17202265
2014/5/5,40.03008368
2014/5/6,42.47094244
2014/5/7,41.00642718
2014/5/8,48.81717522
2014/5/9,41.49459894
2014/5/10,30.75482039
2014/5/11,33.19567915
2014/5/12,44.9118012
2014/5/13,44.42362945
2014/5/14,44.42362945
2014/5/15,48.81717522
2014/5/16,42.47094244
2014/5/17,31.24299214
2014/5/18,33.19567915
2014/5/19,44.9118012
