Date,MSFT
2013/10/20,13.8048438
2013/10/21,35.89259389
2013/10/22,39.57388557
2013/10/23,38.65356265
2013/10/24,75.46647947
2013/10/25,92.03229203
2013/10/26,24.84871885
2013/10/27,16.56581257
2013/10/28,40.49420849
2013/10/29,39.57388557
2013/10/30,30.37065637
2013/10/31,26.68936469
2013/11/1,25.76904177
2013/11/2,12.88452088
2013/11/3,13.8048438
2013/11/4,24.84871885
2013/11/5,41.41453141
2013/11/6,59.82098982
2013/11/7,61.66163566
2013/11/8,34.97227097
2013/11/9,12.88452088
2013/11/10,13.8048438
2013/11/11,29.45033345
2013/11/12,34.97227097
2013/11/13,33.13162513
2013/11/14,34.05194805
2013/11/15,34.05194805
2013/11/16,11.96419796
2013/11/17,11.04387504
2013/11/18,31.29097929
2013/11/19,34.97227097
2013/11/20,38.65356265
2013/11/21,43.25517726
2013/11/22,40.49420849
2013/11/23,23.92839593
2013/11/24,13.8048438
2013/11/25,38.65356265
2013/11/26,36.81291681
2013/11/27,24.84871885
2013/11/28,15.64548965
2013/11/29,20.24710425
2013/11/30,19.32678133
2013/12/1,12.88452088
2013/12/2,36.81291681
2013/12/3,34.05194805
2013/12/4,34.97227097
2013/12/5,45.0958231
2013/12/6,40.49420849
2013/12/7,16.56581257
2013/12/8,11.04387504
2013/12/9,26.68936469
2013/12/10,39.57388557
2013/12/11,33.13162513
2013/12/12,40.49420849
2013/12/13,24.84871885
2013/12/14,11.96419796
2013/12/15,11.96419796
2013/12/16,29.45033345
2013/12/17,28.53001053
2013/12/18,33.13162513
2013/12/19,36.81291681
2013/12/20,28.53001053
2013/12/21,14.72516673
2013/12/22,5.521937522
2013/12/23,29.45033345
2013/12/24,29.45033345
2013/12/25,16.56581257
2013/12/26,26.68936469
2013/12/27,25.76904177
2013/12/28,13.8048438
2013/12/29,8.282906283
2013/12/30,23.00807301
2013/12/31,28.53001053
2014/1/1,13.8048438
2014/1/2,29.91049491
2014/1/3,28.76009126
2014/1/4,17.25605476
2014/1/5,10.35363285
2014/1/6,29.91049491
2014/1/7,35.66251316
2014/1/8,33.36170586
2014/1/9,23.00807301
2014/1/10,23.00807301
2014/1/11,9.203229203
2014/1/12,8.052825553
2014/1/13,29.91049491
2014/1/14,36.81291681
2014/1/15,32.21130221
2014/1/16,36.81291681
2014/1/17,26.45928396
2014/1/18,13.8048438
2014/1/19,9.203229203
2014/1/20,18.40645841
2014/1/21,27.60968761
2014/1/22,33.36170586
2014/1/23,63.27220077
2014/1/24,94.33309933
2014/1/25,17.25605476
2014/1/26,11.5040365
2014/1/27,36.81291681
2014/1/28,35.66251316
2014/1/29,25.30888031
2014/1/30,41.41453141
2014/1/31,52.91856792
2014/2/1,18.40645841
2014/2/2,11.5040365
2014/2/3,28.76009126
2014/2/4,115.040365
2014/2/5,47.16654967
2014/2/6,39.11372411
2014/2/7,33.36170586
2014/2/8,10.35363285
2014/2/9,11.5040365
2014/2/10,33.36170586
2014/2/11,32.21130221
2014/2/12,29.91049491
2014/2/13,32.21130221
2014/2/14,28.76009126
2014/2/15,17.25605476
2014/2/16,10.35363285
2014/2/17,19.55686206
2014/2/18,33.36170586
2014/2/19,28.76009126
2014/2/20,33.36170586
2014/2/21,29.91049491
2014/2/22,11.5040365
2014/2/23,12.65444015
2014/2/24,28.76009126
2014/2/25,26.45928396
2014/2/26,33.36170586
2014/2/27,25.30888031
2014/2/28,29.91049491
2014/3/1,17.25605476
2014/3/2,13.8048438
2014/3/3,27.60968761
2014/3/4,36.81291681
2014/3/5,27.60968761
2014/3/6,31.06089856
2014/3/7,21.85766936
2014/3/8,10.35363285
2014/3/9,11.5040365
2014/3/10,20.70726571
2014/3/11,28.76009126
2014/3/12,29.91049491
2014/3/13,27.60968761
2014/3/14,25.30888031
2014/3/15,9.203229203
2014/3/16,8.052825553
2014/3/17,20.70726571
2014/3/18,44.86574237
2014/3/19,44.86574237
2014/3/20,43.71533872
2014/3/21,36.81291681
2014/3/22,13.8048438
2014/3/23,11.5040365
2014/3/24,26.45928396
2014/3/25,36.81291681
2014/3/26,31.06089856
2014/3/27,50.61776062
2014/3/28,48.31695332
2014/3/29,13.8048438
2014/3/30,8.052825553
2014/3/31,35.66251316
2014/4/1,42.56493506
2014/4/2,48.74371596
2014/4/3,40.50534143
2014/4/4,45.31105991
2014/4/5,14.41715543
2014/4/6,8.924905739
2014/4/7,35.01309175
2014/4/8,32.95349811
2014/4/9,36.38615417
2014/4/10,31.58043569
2014/4/11,32.95349811
2014/4/12,13.73062421
2014/4/13,7.551843318
2014/4/14,27.46124843
2014/4/15,32.95349811
2014/4/16,30.20737327
2014/4/17,30.89390448
2014/4/18,20.59593632
2014/4/19,9.61143695
2014/4/20,8.924905739
2014/4/21,26.77471722
2014/4/22,30.89390448
2014/4/23,35.69962296
2014/4/24,59.72821533
2014/4/25,68.65312107
2014/4/26,17.84981148
2014/4/27,12.35756179
2014/4/28,35.69962296
2014/4/29,30.20737327
2014/4/30,31.58043569
2014/5/1,35.69962296
2014/5/2,26.77471722
2014/5/3,15.79021785
2014/5/4,10.98449937
2014/5/5,21.96899874
2014/5/6,26.08818601
2014/5/7,32.2669669
2014/5/8,31.58043569
2014/5/9,24.02859238
2014/5/10,10.98449937
2014/5/11,6.178780897
2014/5/12,26.08818601
2014/5/13,31.58043569
2014/5/14,27.46124843
2014/5/15,30.89390448
2014/5/16,21.28246753
2014/5/17,8.924905739
2014/5/18,8.238374529
2014/5/19,26.77471722
2014/5/20,31.58043569
2014/5/21,28.83431085
2014/5/22,31.58043569
2014/5/23,23.34206116
2014/5/24,12.35756179
2014/5/25,6.865312107
2014/5/26,7.551843318
2014/5/27,27.46124843
2014/5/28,30.20737327
2014/5/29,24.71512359
2014/5/30,23.34206116
2014/5/31,10.98449937
2014/6/1,10.29796816
2014/6/2,28.83431085
2014/6/3,24.02859238
2014/6/4,26.08818601
2014/6/5,24.71512359
2014/6/6,37.75921659
2014/6/7,13.044093
2014/6/8,12.35756179
2014/6/9,21.28246753
2014/6/10,29.52084206
2014/6/11,26.08818601
2014/6/12,24.02859238
2014/6/13,26.08818601
2014/6/14,9.61143695
2014/6/15,4.805718475
2014/6/16,21.96899874
2014/6/17,28.83431085
2014/6/18,26.08818601
2014/6/19,26.77471722
2014/6/20,25.4016548
2014/6/21,11.67103058
2014/6/22,6.865312107
2014/6/23,19.2228739
2014/6/24,21.28246753
2014/6/25,26.08818601
2014/6/26,23.34206116
2014/6/27,25.4016548
2014/6/28,14.41715543
2014/6/29,9.61143695
2014/6/30,26.08818601
2014/7/1,26.77471722
2014/7/2,22.31226435
2014/7/3,30.12155687
2014/7/4,15.61858504
2014/7/5,4.46245287
2014/7/6,8.924905739
2014/7/7,21.19665113
2014/7/8,25.659104
2014/7/9,23.42787757
2014/7/10,24.54349078
2014/7/11,20.08103791
2014/7/12,8.924905739
2014/7/13,3.346839652
2014/7/14,23.42787757
2014/7/15,29.00594365
2014/7/16,47.97136835
2014/7/17,111.5613217
2014/7/18,58.01188731
2014/7/19,22.31226435
2014/7/20,15.61858504
2014/7/21,39.04646261
2014/7/22,85.90221774
2014/7/23,60.24311374
2014/7/24,44.6245287
2014/7/25,34.58400974
2014/7/26,13.38735861
2014/7/27,10.04051896
2014/7/28,29.00594365
2014/7/29,30.12155687
2014/7/30,26.77471722
2014/7/31,26.77471722
2014/8/1,26.77471722
2014/8/2,10.04051896
2014/8/3,3.346839652
2014/8/4,25.659104
2014/8/5,24.54349078
2014/8/6,23.42787757
2014/8/7,20.08103791
2014/8/8,22.31226435
2014/8/9,8.924905739
2014/8/10,10.04051896
2014/8/11,24.54349078
2014/8/12,26.77471722
2014/8/13,22.31226435
2014/8/14,25.659104
2014/8/15,25.659104
2014/8/16,7.809292522
2014/8/17,4.46245287
2014/8/18,23.42787757
2014/8/19,29.00594365
2014/8/20,29.00594365
2014/8/21,26.77471722
2014/8/22,24.54349078
2014/8/23,10.04051896
2014/8/24,5.578066087
2014/8/25,21.19665113
2014/8/26,23.42787757
2014/8/27,25.659104
2014/8/28,23.42787757
2014/8/29,18.9654247
2014/8/30,10.04051896
2014/8/31,8.924905739
2014/9/1,12.27174539
2014/9/2,21.19665113
2014/9/3,22.31226435
2014/9/4,27.89033044
2014/9/5,35.69962296
2014/9/6,10.04051896
