Date,GOOG
2013/11/8,274.0435005
2013/11/9,253.592493
2013/11/10,253.592493
2013/11/11,274.0435005
2013/11/12,265.8630975
2013/11/13,278.133702
2013/11/14,286.314105
2013/11/15,282.2239035
2013/11/16,253.592493
2013/11/17,249.5022915
2013/11/18,282.2239035
2013/11/19,274.0435005
2013/11/20,278.133702
2013/11/21,278.133702
2013/11/22,278.133702
2013/11/23,257.6826945
2013/11/24,245.41209
2013/11/25,278.133702
2013/11/26,269.953299
2013/11/27,274.0435005
2013/11/28,269.953299
2013/11/29,249.5022915
2013/11/30,249.5022915
2013/12/1,249.5022915
2013/12/2,278.133702
2013/12/3,274.0435005
2013/12/4,278.133702
2013/12/5,278.133702
2013/12/6,274.0435005
2013/12/7,233.1414855
2013/12/8,245.41209
2013/12/9,274.0435005
2013/12/10,274.0435005
2013/12/11,274.0435005
2013/12/12,278.133702
2013/12/13,269.953299
2013/12/14,257.6826945
2013/12/15,249.5022915
2013/12/16,269.953299
2013/12/17,265.8630975
2013/12/18,278.133702
2013/12/19,265.8630975
2013/12/20,261.772896
2013/12/21,241.3218885
2013/12/22,253.592493
2013/12/23,274.0435005
2013/12/24,257.6826945
2013/12/25,286.314105
2013/12/26,261.772896
2013/12/27,257.6826945
2013/12/28,249.5022915
2013/12/29,241.3218885
2013/12/30,257.6826945
2013/12/31,253.592493
2014/1/1,249.5022915
2014/1/2,271.8935228
2014/1/3,249.5022915
2014/1/4,239.9060495
2014/1/5,233.5085548
2014/1/6,265.4960281
2014/1/7,278.2910174
2014/1/8,265.4960281
2014/1/9,265.4960281
2014/1/10,262.2972808
2014/1/11,246.3035441
2014/1/12,243.1047968
2014/1/13,281.4897647
2014/1/14,275.0922701
2014/1/15,284.6885121
2014/1/16,271.8935228
2014/1/17,268.6947754
2014/1/18,243.1047968
2014/1/19,233.5085548
2014/1/20,252.7010388
2014/1/21,268.6947754
2014/1/22,268.6947754
2014/1/23,265.4960281
2014/1/24,271.8935228
2014/1/25,249.5022915
2014/1/26,239.9060495
2014/1/27,278.2910174
2014/1/28,275.0922701
2014/1/29,291.0860067
2014/1/30,319.8747327
2014/1/31,319.8747327
2014/2/1,252.7010388
2014/2/2,255.8997861
2014/2/3,287.8872594
2014/2/4,284.6885121
2014/2/5,268.6947754
2014/2/6,271.8935228
2014/2/7,294.284754
2014/2/8,239.9060495
2014/2/9,249.5022915
2014/2/10,271.8935228
2014/2/11,284.6885121
2014/2/12,303.880996
2014/2/13,275.0922701
2014/2/14,294.284754
2014/2/15,243.1047968
2014/2/16,246.3035441
2014/2/17,259.0985334
2014/2/18,281.4897647
2014/2/19,268.6947754
2014/2/20,284.6885121
2014/2/21,268.6947754
2014/2/22,249.5022915
2014/2/23,236.7073022
2014/2/24,281.4897647
2014/2/25,291.0860067
2014/2/26,294.284754
2014/2/27,287.8872594
2014/2/28,278.2910174
2014/3/1,246.3035441
2014/3/2,239.9060495
2014/3/3,281.4897647
2014/3/4,275.0922701
2014/3/5,275.0922701
2014/3/6,278.2910174
2014/3/7,291.0860067
2014/3/8,265.4960281
2014/3/9,249.5022915
2014/3/10,303.880996
2014/3/11,297.4835014
2014/3/12,297.4835014
2014/3/13,297.4835014
2014/3/14,287.8872594
2014/3/15,249.5022915
2014/3/16,239.9060495
2014/3/17,287.8872594
2014/3/18,287.8872594
2014/3/19,281.4897647
2014/3/20,303.880996
2014/3/21,271.8935228
2014/3/22,236.7073022
2014/3/23,239.9060495
2014/3/24,275.0922701
2014/3/25,297.4835014
2014/3/26,281.4897647
2014/3/27,297.4835014
2014/3/28,278.2910174
2014/3/29,243.1047968
2014/3/30,249.5022915
2014/3/31,287.8872594
2014/4/1,287.8872594
2014/4/2,297.8144063
2014/4/3,330.9048958
2014/4/4,307.7415531
2014/4/5,251.4877208
2014/4/6,228.3243781
2014/4/7,297.8144063
2014/4/8,287.8872594
2014/4/9,281.2691615
2014/4/10,281.2691615
2014/4/11,291.1963083
2014/4/12,244.8696229
2014/4/13,238.251525
2014/4/14,287.8872594
2014/4/15,291.1963083
2014/4/16,301.1234552
2014/4/17,301.1234552
2014/4/18,271.3420146
2014/4/19,241.560574
2014/4/20,248.1786719
2014/4/21,274.6510636
2014/4/22,304.4325042
2014/4/23,287.8872594
2014/4/24,277.9601125
2014/4/25,264.7239167
2014/4/26,238.251525
2014/4/27,234.9424761
2014/4/28,301.1234552
2014/4/29,281.2691615
2014/4/30,297.8144063
2014/5/1,284.5782104
2014/5/2,268.0329656
2014/5/3,248.1786719
2014/5/4,248.1786719
2014/5/5,277.9601125
2014/5/6,274.6510636
2014/5/7,287.8872594
2014/5/8,284.5782104
2014/5/9,291.1963083
2014/5/10,254.7967698
2014/5/11,241.560574
2014/5/12,287.8872594
2014/5/13,281.2691615
2014/5/14,281.2691615
2014/5/15,287.8872594
2014/5/16,251.4877208
2014/5/17,241.560574
2014/5/18,241.560574
2014/5/19,304.4325042
2014/5/20,284.5782104
2014/5/21,291.1963083
2014/5/22,301.1234552
2014/5/23,277.9601125
2014/5/24,258.1058188
2014/5/25,241.560574
2014/5/26,261.4148677
2014/5/27,294.5053573
2014/5/28,277.9601125
2014/5/29,287.8872594
2014/5/30,284.5782104
2014/5/31,248.1786719
2014/6/1,251.4877208
2014/6/2,284.5782104
2014/6/3,284.5782104
2014/6/4,277.9601125
2014/6/5,268.0329656
2014/6/6,261.4148677
2014/6/7,254.7967698
2014/6/8,241.560574
2014/6/9,284.5782104
2014/6/10,264.7239167
2014/6/11,261.4148677
2014/6/12,277.9601125
2014/6/13,258.1058188
2014/6/14,261.4148677
2014/6/15,244.8696229
2014/6/16,268.0329656
2014/6/17,268.0329656
2014/6/18,254.7967698
2014/6/19,274.6510636
2014/6/20,248.1786719
2014/6/21,225.0153292
2014/6/22,231.6334271
2014/6/23,268.0329656
2014/6/24,261.4148677
2014/6/25,238.251525
2014/6/26,258.1058188
2014/6/27,241.560574
2014/6/28,225.0153292
2014/6/29,221.7062802
2014/6/30,248.1786719
2014/7/1,248.1786719
2014/7/2,237.5043204
2014/7/3,250.8472598
2014/7/4,234.8357325
2014/7/5,218.8242053
2014/7/6,224.1613811
2014/7/7,245.510084
2014/7/8,253.5158476
2014/7/9,240.1729083
2014/7/10,232.1671447
2014/7/11,245.510084
2014/7/12,221.4927932
2014/7/13,248.1786719
2014/7/14,232.1671447
2014/7/15,240.1729083
2014/7/16,240.1729083
2014/7/17,266.858787
2014/7/18,258.8530234
2014/7/19,240.1729083
2014/7/20,226.8299689
2014/7/21,240.1729083
2014/7/22,258.8530234
2014/7/23,226.8299689
2014/7/24,242.8414961
2014/7/25,232.1671447
2014/7/26,245.510084
2014/7/27,213.4870296
2014/7/28,237.5043204
2014/7/29,242.8414961
2014/7/30,253.5158476
2014/7/31,242.8414961
2014/8/1,234.8357325
2014/8/2,245.510084
2014/8/3,213.4870296
2014/8/4,248.1786719
2014/8/5,248.1786719
2014/8/6,248.1786719
2014/8/7,224.1613811
2014/8/8,245.510084
2014/8/9,229.4985568
2014/8/10,218.8242053
2014/8/11,248.1786719
2014/8/12,234.8357325
2014/8/13,256.1844355
2014/8/14,256.1844355
2014/8/15,240.1729083
2014/8/16,232.1671447
2014/8/17,213.4870296
2014/8/18,242.8414961
2014/8/19,237.5043204
2014/8/20,216.1556174
2014/8/21,221.4927932
2014/8/22,218.8242053
2014/8/23,197.4755024
2014/8/24,186.8011509
2014/8/25,213.4870296
2014/8/26,216.1556174
2014/8/27,210.8184417
2014/8/28,208.1498538
2014/8/29,205.481266
2014/8/30,197.4755024
2014/8/31,200.1440902
2014/9/1,210.8184417
2014/9/2,216.1556174
2014/9/3,216.1556174
2014/9/4,213.4870296
2014/9/5,213.4870296
2014/9/6,200.1440902
2014/9/7,197.4755024
2014/9/8,218.8242053
2014/9/9,226.8299689
2014/9/10,213.4870296
2014/9/11,213.4870296
2014/9/12,216.1556174
2014/9/13,200.1440902
2014/9/14,194.8069145
2014/9/15,221.4927932
2014/9/16,221.4927932
2014/9/17,218.8242053
2014/9/18,208.1498538
2014/9/19,224.1613811
2014/9/20,189.4697388
2014/9/21,197.4755024
2014/9/22,202.8126781
2014/9/23,213.4870296
2014/9/24,210.8184417
2014/9/25,221.4927932
2014/9/26,202.8126781
2014/9/27,192.1383266
2014/9/28,189.4697388
2014/9/29,210.8184417
2014/9/30,202.8126781
2014/10/1,197.4755024
2014/10/2,204.2850024
2014/10/3,204.2850024
2014/10/4,197.4755024
2014/10/5,186.1263356
2014/10/6,204.2850024
2014/10/7,213.3643359
2014/10/8,208.8246692
2014/10/9,213.3643359
2014/10/10,202.0151691
2014/10/11,177.0470021
2014/10/12,181.5866688
2014/10/13,204.2850024
2014/10/14,211.0945025
2014/10/15,208.8246692
2014/10/16,226.983336
2014/10/17,208.8246692
2014/10/18,204.2850024
2014/10/19,179.3168355
2014/10/20,215.6341692
2014/10/21,206.5548358
2014/10/22,211.0945025
2014/10/23,197.4755024
2014/10/24,206.5548358
2014/10/25,170.237502
2014/10/26,181.5866688
2014/10/27,211.0945025
2014/10/28,206.5548358
2014/10/29,192.9358356
2014/10/30,206.5548358
2014/10/31,192.9358356
2014/11/1,192.9358356
2014/11/2,186.1263356
2014/11/3,208.8246692
2014/11/4,204.2850024
2014/11/5,206.5548358
2014/11/6,215.6341692
2014/11/7,199.7453357
2014/11/8,188.3961689
2014/11/9,183.8565022
2014/11/10,208.8246692
2014/11/11,208.8246692
2014/11/12,199.7453357
2014/11/13,215.6341692
2014/11/14,206.5548358
2014/11/15,174.7771688
2014/11/16,172.5073354
2014/11/17,202.0151691
2014/11/18,213.3643359
2014/11/19,208.8246692
2014/11/20,204.2850024
2014/11/21,206.5548358
2014/11/22,183.8565022
2014/11/23,170.237502
2014/11/24,199.7453357
2014/11/25,190.6660023
2014/11/26,199.7453357
2014/11/27,195.205669
2014/11/28,202.0151691
2014/11/29,186.1263356
2014/11/30,179.3168355
2014/12/1,211.0945025
2014/12/2,202.0151691
2014/12/3,192.9358356
2014/12/4,202.0151691
2014/12/5,204.2850024
2014/12/6,179.3168355
2014/12/7,183.8565022
2014/12/8,197.4755024
2014/12/9,213.3643359
2014/12/10,215.6341692
2014/12/11,202.0151691
2014/12/12,204.2850024
2014/12/13,188.3961689
2014/12/14,179.3168355
2014/12/15,213.3643359
2014/12/16,217.9040026
2014/12/17,206.5548358
2014/12/18,208.8246692
2014/12/19,204.2850024
